Aspest,Elevation,Slope,MAP,Distance to Roads,Distance to Faults,Distance to Rivers,NDVI,Lithology,label
242.3009949,2059,20.6303005,1218.369995,2,0,0,0.485968,2,1
235.0079956,2079,16.9703007,851.5529785,0,0,0,0.448236,2,1
99.2461014,1563,10.2886,864.3209839,0,0,0,0.509154,2,0
329.0360107,1785,13.6557999,753.2730103,0,0,0,0.421985,4,0
302.5929871,2054,16.7872009,889.4799805,0,0,0,0.379334,4,1
223.2100067,2059,10.6835003,827.9260254,0,0,0,0.28385,2,1
339.0440063,1544,22.7535,1208.27002,0,0,0,0.358419,2,1
47.7262993,1991,7.0620399,838.9790039,0,0,0,0.543858,2,0
262.3039856,1738,8.8425102,769.6810303,2,0,0,0.266139,3,1
110.7720032,2488,21.1914005,1252.810059,0,0,0,0.611661,2,0
167.276001,1895,14.8334999,792.4530029,3,0,0,0.229536,2,1
107.387001,1777,23.3764,906.1790161,0,0,0,0.500087,2,0
336.1610107,1712,11.0825996,757.7449951,4,1,3,0.179668,3,1
33.4077988,962,35.1372986,906.3790283,0,0,1,0.354548,2,0
239.3350067,1409,28.6951008,904.2420044,0,0,0,0.382903,2,0
106.3270035,1935,23.2597008,855.151001,0,0,0,0.468622,2,1
27.6238003,1686,42.2276993,820.5570068,4,0,2,0.23812,4,1
125.7200012,921,42.4122009,938.723999,0,0,1,0.347636,2,0
63.7779999,2150,17.2856998,1235.140015,0,0,0,0.367571,2,1
209.7449951,1823,21.9549999,1003.640015,1,0,2,0.497264,2,0
201.6560059,1826,31.3707008,1166.780029,0,0,4,0.452052,2,1
171.8699951,652,22.4151001,885.5599976,0,0,4,0.453227,2,1
36.8698997,1566,2.3859401,788.3859863,4,3,0,0.389036,3,1
22.1093998,2492,29.9274998,1225.550049,1,0,0,0.588732,4,0
122.4710007,1922,3.1096301,811.7490234,1,0,0,0.236041,2,0
251.9960022,2152,19.3153,867.90802,0,0,0,0.282468,2,1
49.3987007,2025,12.9793997,839.6669922,3,0,0,0.434113,2,1
240.5240021,1090,18.2756004,943.1539917,0,0,0,0.241015,2,0
337.6940002,1543,19.3556995,1181.439941,3,0,0,0.404585,4,1
276.8429871,1324,5.9892201,889.8040161,3,0,0,0.0897869,4,0
90,1202,11.7683001,748.5780029,3,0,4,0.403927,2,1
215.5379944,1880,17.8789997,814.0490112,4,0,0,0.340089,3,0
92.4896011,688,5.47927,880.9589844,0,0,3,0.492157,2,0
18.4349003,1730,1.5095299,763.6160278,4,0,0,0.288812,1,0
175.326004,993,33.6124001,870.8309937,0,0,0,0.441441,2,0
51.2257996,1802,18.0566998,791.4509888,4,0,0,0.459547,2,1
15.4611998,1529,11.4854002,989.8690186,3,0,0,0.570661,2,0
288.1589966,1138,28.7287006,846.1099854,0,0,1,0.372431,2,0
117.7340012,1472,24.5426998,1022.380005,0,0,0,0.556827,4,1
203.8059998,1633,17.2068005,999.0089722,0,0,0,0.290706,2,0
1.84761,1213,14.4919996,652.4680176,4,0,4,0.304549,2,0
178.0590057,2002,26.1947994,798.8189697,0,0,0,0.32715,3,0
150.1239929,1793,12.7265997,792.4470215,4,0,0,0.245759,2,0
141.4290009,2100,22.8320007,877.2210083,0,2,0,0.6466,2,1
176.6340027,2138,8.0769997,859.5369873,0,0,0,0.455392,2,0
23.4046993,1649,16.9195004,752,0,1,0,0.388096,2,0
301.6749878,1950,12.9588003,1316.280029,0,0,0,0.562955,2,0
220.9859924,2037,33.956501,1234.030029,0,0,0,0.526573,2,1
65.4328003,846,17.780899,940.382019,4,2,0,0.331115,4,1
216.723999,2010,18.1336994,874.5789795,2,0,0,0.310939,2,0
124.6949997,1795,14.7630997,1239.709961,4,0,0,0.314644,4,1
123.8450012,1872,23.0946999,797.1790161,1,2,0,0.296029,3,1
279.3450012,1283,18.4484005,908.6279907,4,0,0,0.435031,4,1
88.6027985,1672,9.6972704,759.9069824,0,1,0,0.455545,3,0
199.9830017,1431,11.0384998,780.3170166,3,0,0,0.554669,3,0
7.4808898,2384,22.5893002,1146.630005,0,0,0,0.562392,2,0
343.8110046,1508,21.9741001,777.223999,4,0,0,0.270475,4,1
278.5910034,1687,30.3591995,833.9299927,0,0,0,0.408076,4,0
78.6901016,1572,19.8586998,749.9119873,0,1,1,0.329705,2,1
4.7334399,2183,33.2811012,1165.530029,3,0,0,0.56719,2,0
52.3344002,733,30.9661999,874.2620239,4,1,0,0.313205,2,1
142.4960022,2258,12.7265997,1234.75,0,0,0,0.633058,2,0
262.2839966,2388,33.0936012,912.3699951,0,0,0,0.508902,2,0
187.9069977,1888,16.8505001,727.2479858,0,0,0,0.115825,4,1
174.6679993,1996,17.4249001,860.5620117,0,0,0,0.46553,2,1
224.473999,2172,32.7132988,1104.77002,0,0,0,0.578497,4,0
121.4089966,1266,28.8841991,863.5910034,0,0,0,0.516705,2,0
96.6544037,1262,26.7203007,854.1630249,0,0,0,0.466267,2,0
